epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.438,1.61119,1.46857,1.14636,0.82524,0.6872,0.76369,0.30438,1.88977,1.08569,1.50855,0.00333179,0.00333179,0.00333179
2,409.02,1.3483,0.83095,1.01556,0.74089,0.75611,0.74051,0.29963,1.90861,1.11356,1.60707,0.00666348,0.00666348,0.00666348
3,598.871,1.34352,0.82912,1.01566,0.72174,0.62134,0.61608,0.24203,1.95013,1.18171,1.53601,0.0099886,0.0099886,0.0099886
4,788.234,1.30654,0.79561,1.01068,0.8002,0.78174,0.75453,0.32324,1.89141,1.07747,1.52947,0.00997783,0.00997783,0.00997783
5,980.725,1.23585,0.74139,0.99314,0.71451,0.68205,0.66642,0.29165,1.82656,1.04894,1.44944,0.00996061,0.00996061,0.00996061
6,1179.65,1.1829,0.70288,0.97837,0.73953,0.7017,0.69956,0.31889,1.75419,1.10639,1.41073,0.0099385,0.0099385,0.0099385
7,1378.58,1.15025,0.67349,0.96967,0.81034,0.62446,0.61305,0.28317,1.65701,1.11686,1.31259,0.00991152,0.00991152,0.00991152
8,1577.53,1.11774,0.64884,0.9627,0.82615,0.70335,0.74969,0.35374,1.66361,0.92922,1.38808,0.0098797,0.0098797,0.0098797
9,1775.48,1.08673,0.63144,0.95342,0.80073,0.69474,0.71006,0.29945,1.83587,1.08905,1.50939,0.00984307,0.00984307,0.00984307
10,1964.91,1.05936,0.61074,0.94631,0.67233,0.55117,0.56561,0.26162,1.70807,1.19642,1.40965,0.00980167,0.00980167,0.00980167
11,2155.4,1.05426,0.60627,0.94505,0.7064,0.56697,0.57803,0.28035,1.6064,1.29513,1.28129,0.00975553,0.00975553,0.00975553
12,2355.04,1.02779,0.59159,0.93992,0.82079,0.70246,0.74158,0.35528,1.54203,1.03753,1.32051,0.0097047,0.0097047,0.0097047
13,2554.51,1.01071,0.57577,0.93519,0.76961,0.67513,0.67711,0.31193,1.72696,1.09921,1.48246,0.00964923,0.00964923,0.00964923
