epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.511,1.63481,1.84345,1.11614,0.73675,0.66527,0.68877,0.27177,1.92416,1.11705,1.29053,0.00333025,0.00333025,0.00333025
2,359.853,1.3173,0.79738,0.97583,0.69041,0.68134,0.66617,0.2887,1.84978,1.06002,1.2845,0.00653164,0.00653164,0.00653164
3,534.48,1.29361,0.76824,0.97183,0.75579,0.72123,0.69144,0.28421,1.83874,1.11689,1.27383,0.00960104,0.00960104,0.00960104
4,707.936,1.23768,0.71972,0.95874,0.74348,0.6991,0.69215,0.31114,1.68174,1.24002,1.16474,0.009406,0.009406,0.009406
5,879.586,1.17783,0.67604,0.94592,0.793,0.76534,0.75827,0.33355,1.79074,1.05463,1.26078,0.009208,0.009208,0.009208
6,1049.78,1.11207,0.63199,0.93023,0.78254,0.76472,0.77093,0.3423,1.7825,1.00598,1.26756,0.00901,0.00901,0.00901
7,1218.06,1.06754,0.60778,0.91933,0.68625,0.57778,0.59228,0.2737,1.847,1.01705,1.26643,0.008812,0.008812,0.008812
8,1385.05,1.036,0.58638,0.91231,0.84873,0.77717,0.799,0.37259,1.63234,0.93737,1.1802,0.008614,0.008614,0.008614
9,1553.32,1.01749,0.57565,0.90779,0.81356,0.70666,0.73628,0.3515,1.59329,0.97269,1.14021,0.008416,0.008416,0.008416
10,1721.08,0.99167,0.56034,0.90192,0.80428,0.70304,0.73105,0.32949,1.72467,1.0058,1.27133,0.008218,0.008218,0.008218
11,1888.7,0.97757,0.54826,0.89835,0.7968,0.65307,0.71757,0.34644,1.7602,1.16579,1.30314,0.00802,0.00802,0.00802
12,2057.48,0.96779,0.53869,0.89468,0.76498,0.56673,0.58684,0.28801,1.67076,1.21637,1.2652,0.007822,0.007822,0.007822
13,2233.34,0.95233,0.52974,0.8909,0.80298,0.72112,0.74875,0.34502,1.7888,1.10415,1.291,0.007624,0.007624,0.007624
14,2400.47,0.94148,0.52393,0.88878,0.79643,0.72689,0.73652,0.34922,1.83532,1.19556,1.27288,0.007426,0.007426,0.007426
15,2567.64,0.92635,0.51361,0.88643,0.77506,0.67729,0.71894,0.34618,1.70014,1.18804,1.24481,0.007228,0.007228,0.007228
16,2736.17,0.91642,0.5077,0.88446,0.79782,0.70875,0.73316,0.36079,1.62156,1.00604,1.2003,0.00703,0.00703,0.00703
17,2902.91,0.91456,0.50406,0.88367,0.81089,0.70245,0.75648,0.36658,1.76854,0.97595,1.28059,0.006832,0.006832,0.006832
18,3070.71,0.90023,0.49373,0.88027,0.81897,0.70114,0.73855,0.35173,1.61811,1.01268,1.16113,0.006634,0.006634,0.006634
19,3239.62,0.8931,0.4894,0.87834,0.8275,0.71183,0.74475,0.34253,1.81616,1.14418,1.28453,0.006436,0.006436,0.006436
20,3407.21,0.87702,0.4807,0.87631,0.8114,0.70016,0.74463,0.3609,1.6473,1.05992,1.20164,0.006238,0.006238,0.006238
21,3574.63,0.87236,0.475,0.87557,0.81516,0.66825,0.70181,0.34619,1.67352,1.22316,1.18852,0.00604,0.00604,0.00604
22,3742.19,0.86809,0.46981,0.87169,0.82128,0.7179,0.72676,0.35582,1.67694,1.14841,1.18752,0.005842,0.005842,0.005842
23,3909.99,0.86337,0.46977,0.87254,0.81115,0.695,0.73508,0.3547,1.72973,1.20264,1.2301,0.005644,0.005644,0.005644
24,4077.93,0.85344,0.46238,0.87094,0.80075,0.69328,0.74489,0.3582,1.65028,1.04145,1.20023,0.005446,0.005446,0.005446
25,4252.18,0.84761,0.4572,0.86931,0.83913,0.6963,0.74782,0.35907,1.70444,1.16431,1.22536,0.005248,0.005248,0.005248
26,4431.78,0.84318,0.45661,0.8673,0.81674,0.68654,0.72081,0.35529,1.67325,1.32925,1.19121,0.00505,0.00505,0.00505
27,4602.87,0.83046,0.44802,0.86681,0.85488,0.68498,0.74635,0.37607,1.66984,1.08369,1.20125,0.004852,0.004852,0.004852
28,4770.72,0.82028,0.44145,0.86406,0.83379,0.72904,0.76673,0.38788,1.66446,1.06874,1.21361,0.004654,0.004654,0.004654
29,4938.76,0.81371,0.43591,0.86199,0.837,0.70069,0.75275,0.38821,1.63529,1.03746,1.1889,0.004456,0.004456,0.004456
30,5106.84,0.81359,0.43748,0.8621,0.84126,0.69761,0.75268,0.38766,1.58406,1.09031,1.1495,0.004258,0.004258,0.004258
31,5274.67,0.80413,0.43092,0.86048,0.85296,0.72893,0.77495,0.39465,1.60079,1.16457,1.1478,0.00406,0.00406,0.00406
32,5442.67,0.79829,0.42703,0.8608,0.8384,0.70282,0.74987,0.37746,1.70758,1.22621,1.22906,0.003862,0.003862,0.003862
33,5610.54,0.79243,0.42325,0.85797,0.83111,0.71148,0.74039,0.37537,1.69829,1.21034,1.2209,0.003664,0.003664,0.003664
34,5778.66,0.79015,0.42126,0.8581,0.83954,0.69894,0.73517,0.37813,1.64041,1.23552,1.19027,0.003466,0.003466,0.003466
35,5946.96,0.78024,0.41382,0.85752,0.84906,0.70117,0.76111,0.39497,1.71027,1.21125,1.23303,0.003268,0.003268,0.003268
36,6114.72,0.77367,0.41174,0.85534,0.84963,0.71933,0.76623,0.39448,1.63766,1.17971,1.17893,0.00307,0.00307,0.00307
37,6282.64,0.76917,0.40707,0.85312,0.85494,0.71849,0.76148,0.39854,1.63507,1.18341,1.18094,0.002872,0.002872,0.002872
38,6450.31,0.76236,0.40207,0.85348,0.85627,0.71029,0.75949,0.38675,1.6734,1.15405,1.20763,0.002674,0.002674,0.002674
39,6618.13,0.75898,0.39947,0.85208,0.84901,0.69088,0.75311,0.3834,1.68256,1.20133,1.21391,0.002476,0.002476,0.002476
40,6786.27,0.75349,0.39473,0.85079,0.84476,0.70305,0.76178,0.38809,1.67946,1.20647,1.20727,0.002278,0.002278,0.002278
41,6954.86,0.74103,0.38568,0.8509,0.85731,0.71771,0.77226,0.39714,1.67482,1.14306,1.2249,0.00208,0.00208,0.00208
42,7122.61,0.73863,0.38103,0.85151,0.85082,0.70714,0.76793,0.39157,1.68452,1.13354,1.24057,0.001882,0.001882,0.001882
43,7289.62,0.72558,0.37768,0.84939,0.84665,0.68626,0.75391,0.38386,1.70711,1.16972,1.25914,0.001684,0.001684,0.001684
44,7457.27,0.72035,0.37275,0.84697,0.83642,0.66597,0.74168,0.37694,1.71393,1.177,1.25956,0.001486,0.001486,0.001486
45,7624.5,0.71515,0.36894,0.84668,0.84075,0.65599,0.73373,0.37168,1.71211,1.16032,1.26076,0.001288,0.001288,0.001288
46,7791.94,0.70611,0.3652,0.84426,0.83838,0.65843,0.73184,0.37337,1.7072,1.14999,1.25977,0.00109,0.00109,0.00109
47,7959.1,0.70238,0.35953,0.84562,0.82841,0.66183,0.73095,0.37174,1.71999,1.15825,1.26515,0.000892,0.000892,0.000892
48,8126.34,0.6929,0.35663,0.84256,0.83273,0.65577,0.72935,0.36965,1.72565,1.16427,1.26967,0.000694,0.000694,0.000694
49,8293.14,0.6885,0.35101,0.84151,0.83107,0.65492,0.72936,0.36996,1.73234,1.17228,1.27713,0.000496,0.000496,0.000496
50,8460.81,0.67856,0.34627,0.83946,0.82957,0.65159,0.7292,0.37081,1.73793,1.17832,1.28284,0.000298,0.000298,0.000298
