epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,347.4,1.58722,1.62241,1.122,0.81211,0.7441,0.74461,0.31128,1.85698,1.16065,1.53746,0.00333025,0.00333025,0.00333025
2,677.977,1.28001,0.75896,0.99998,0.69524,0.64204,0.58045,0.23007,1.87957,1.2205,1.59211,0.00653164,0.00653164,0.00653164
3,1006.11,1.26952,0.74916,0.9987,0.73568,0.6745,0.66162,0.27975,1.82793,1.20167,1.57902,0.00960104,0.00960104,0.00960104
4,1352.3,1.22039,0.72093,0.9934,0.73656,0.63947,0.63182,0.27925,1.79114,1.30167,1.54338,0.009406,0.009406,0.009406
5,1690.96,1.14091,0.66525,0.97596,0.81615,0.7229,0.72075,0.32833,1.63399,1.06143,1.48456,0.009208,0.009208,0.009208
6,2016.44,1.0866,0.62703,0.96135,0.84315,0.7653,0.79643,0.36201,1.70634,0.95969,1.50318,0.00901,0.00901,0.00901
7,2340.58,1.05287,0.59949,0.9505,0.79339,0.65903,0.69874,0.32347,1.69158,1.0727,1.49415,0.008812,0.008812,0.008812
8,2664.74,1.03396,0.58624,0.94671,0.82374,0.76213,0.75101,0.34167,1.65961,1.12251,1.50137,0.008614,0.008614,0.008614
9,2988.94,1.00112,0.56249,0.93975,0.5468,0.61687,0.52143,0.22491,1.75915,1.38241,1.55152,0.008416,0.008416,0.008416
10,3313.35,0.97988,0.54892,0.93276,0.8233,0.69352,0.71844,0.30985,1.74518,1.18572,1.50217,0.008218,0.008218,0.008218
11,3637.72,0.96135,0.5346,0.92695,0.83588,0.75721,0.74497,0.35919,1.56452,1.15198,1.45542,0.00802,0.00802,0.00802
12,3962.67,0.9552,0.52924,0.92153,0.83441,0.73144,0.73188,0.32844,1.63762,1.23498,1.49334,0.007822,0.007822,0.007822
13,4286.82,0.94292,0.52046,0.92064,0.8447,0.69551,0.7265,0.35036,1.62466,1.16656,1.43782,0.007624,0.007624,0.007624
14,4612.14,0.93708,0.51627,0.92047,0.8433,0.7452,0.74689,0.34918,1.58362,1.10857,1.34694,0.007426,0.007426,0.007426
15,4937.53,0.92017,0.50428,0.91587,0.87928,0.7653,0.77482,0.36036,1.64747,1.03828,1.44189,0.007228,0.007228,0.007228
16,5263.31,0.90909,0.49999,0.91179,0.82283,0.72521,0.73142,0.357,1.55293,1.05955,1.30582,0.00703,0.00703,0.00703
17,5588.45,0.90082,0.49199,0.90965,0.86378,0.75462,0.73836,0.35254,1.52293,1.05808,1.3401,0.006832,0.006832,0.006832
18,5913.33,0.89886,0.48656,0.91131,0.78481,0.65945,0.68145,0.32724,1.59021,1.22153,1.39417,0.006634,0.006634,0.006634
19,6238.75,0.88738,0.48403,0.90602,0.76557,0.63479,0.65574,0.32228,1.59294,1.27121,1.36965,0.006436,0.006436,0.006436
20,6564.37,0.86853,0.46965,0.90285,0.74385,0.61558,0.62662,0.31566,1.58503,1.16573,1.41018,0.006238,0.006238,0.006238
21,6889.63,0.86994,0.46902,0.90208,0.81744,0.67889,0.68372,0.32622,1.66393,1.11608,1.44521,0.00604,0.00604,0.00604
22,7215.16,0.85762,0.46124,0.89986,0.75985,0.69884,0.67996,0.33205,1.60075,1.14036,1.3756,0.005842,0.005842,0.005842
23,7540.82,0.85374,0.45686,0.89932,0.69628,0.62837,0.60651,0.29909,1.62206,1.08659,1.40035,0.005644,0.005644,0.005644
24,7865.82,0.84444,0.45388,0.89609,0.79217,0.63152,0.64159,0.29534,1.64642,1.0717,1.41486,0.005446,0.005446,0.005446
25,8199.31,0.83957,0.44952,0.89343,0.8174,0.65322,0.65966,0.31751,1.56171,1.17263,1.3076,0.005248,0.005248,0.005248
26,8536.15,0.83117,0.44487,0.89175,0.67626,0.63868,0.58284,0.27231,1.65773,1.1367,1.37647,0.00505,0.00505,0.00505
