epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.713,1.65953,1.70876,1.12135,0.72214,0.68678,0.66426,0.28525,1.78902,1.0893,1.3196,0.00333025,0.00333025,0.00333025
2,364.598,1.3363,0.83049,0.97689,0.77254,0.70566,0.68684,0.28708,1.79586,1.10382,1.24921,0.00653164,0.00653164,0.00653164
3,544.818,1.30584,0.79226,0.96915,0.61501,0.68011,0.60807,0.25272,1.8778,1.09405,1.39152,0.00960104,0.00960104,0.00960104
4,725.009,1.25676,0.75573,0.96042,0.8195,0.76154,0.73668,0.32983,1.71698,1.14531,1.28525,0.009406,0.009406,0.009406
5,903.433,1.17063,0.69861,0.94221,0.68453,0.65631,0.6427,0.29292,1.56968,1.06343,1.11153,0.009208,0.009208,0.009208
6,1071.95,1.11878,0.65684,0.93106,0.78747,0.72978,0.69115,0.29956,1.70832,1.04256,1.24987,0.00901,0.00901,0.00901
7,1240.38,1.08629,0.63192,0.92322,0.76619,0.72248,0.71046,0.32494,1.71167,0.99143,1.23679,0.008812,0.008812,0.008812
8,1413.05,1.06779,0.62267,0.91799,0.73643,0.72401,0.68742,0.29634,1.68907,1.18675,1.20836,0.008614,0.008614,0.008614
9,1593.12,1.03722,0.59749,0.91211,0.71263,0.61029,0.58821,0.26007,1.70971,1.20456,1.27035,0.008416,0.008416,0.008416
10,1766,1.01185,0.5814,0.90578,0.79416,0.68966,0.7064,0.30023,1.71421,1.08993,1.31504,0.008218,0.008218,0.008218
11,1934.55,0.99668,0.56673,0.90272,0.83755,0.7448,0.73039,0.32951,1.66291,1.17765,1.26209,0.00802,0.00802,0.00802
12,2103.05,0.98695,0.56065,0.8985,0.81047,0.70874,0.71179,0.32593,1.64058,1.14675,1.18532,0.007822,0.007822,0.007822
13,2271.9,0.97262,0.55344,0.89511,0.81721,0.75168,0.75458,0.34856,1.71309,1.13866,1.26942,0.007624,0.007624,0.007624
14,2440.38,0.964,0.54463,0.89449,0.77989,0.6891,0.6981,0.33214,1.63149,1.28573,1.18129,0.007426,0.007426,0.007426
15,2614.73,0.94978,0.53462,0.89267,0.83006,0.74362,0.71708,0.3241,1.63346,1.0596,1.1599,0.007228,0.007228,0.007228
16,2794.66,0.93934,0.52918,0.88839,0.75368,0.68451,0.67689,0.32168,1.60343,1.18241,1.1801,0.00703,0.00703,0.00703
17,2965.91,0.92934,0.52271,0.8871,0.84642,0.76481,0.74324,0.35058,1.58893,1.0885,1.21018,0.006832,0.006832,0.006832
18,3134.25,0.92478,0.51497,0.88697,0.84662,0.75784,0.74747,0.35461,1.61172,1.02081,1.16854,0.006634,0.006634,0.006634
19,3303.07,0.91963,0.51433,0.8838,0.81063,0.70492,0.6877,0.31616,1.67399,1.17701,1.15909,0.006436,0.006436,0.006436
20,3471.24,0.9005,0.49953,0.88158,0.84053,0.73909,0.71528,0.34376,1.62616,1.09801,1.22251,0.006238,0.006238,0.006238
21,3640.79,0.89744,0.49586,0.87997,0.84685,0.72949,0.72736,0.35146,1.59697,1.05331,1.17575,0.00604,0.00604,0.00604
22,3809.05,0.88911,0.49033,0.87963,0.86471,0.70844,0.71546,0.35174,1.56051,1.16251,1.1491,0.005842,0.005842,0.005842
23,3977.98,0.88618,0.48514,0.87792,0.7949,0.66764,0.67988,0.32667,1.63347,1.1114,1.23159,0.005644,0.005644,0.005644
24,4146.57,0.87384,0.48322,0.87522,0.82603,0.75723,0.7386,0.35519,1.57723,1.03935,1.1602,0.005446,0.005446,0.005446
25,4315.42,0.8682,0.47637,0.87426,0.84233,0.74214,0.73854,0.36196,1.51174,1.0822,1.09948,0.005248,0.005248,0.005248
26,4483.9,0.85991,0.47035,0.87206,0.84259,0.74416,0.72885,0.35718,1.5131,1.02323,1.1466,0.00505,0.00505,0.00505
27,4652.57,0.85297,0.4665,0.86985,0.87439,0.77994,0.76798,0.37851,1.52269,0.97908,1.12683,0.004852,0.004852,0.004852
28,4821,0.85215,0.46467,0.87074,0.82959,0.72716,0.70639,0.34061,1.56867,0.99574,1.15481,0.004654,0.004654,0.004654
29,4989.44,0.84015,0.45699,0.86811,0.85454,0.74364,0.73086,0.35941,1.56444,0.97842,1.14027,0.004456,0.004456,0.004456
30,5157.98,0.8405,0.45822,0.86691,0.83353,0.72717,0.70262,0.34945,1.53367,1.01434,1.15835,0.004258,0.004258,0.004258
31,5326.68,0.82623,0.44882,0.86465,0.82638,0.74422,0.72843,0.35989,1.55276,0.9974,1.15719,0.00406,0.00406,0.00406
32,5495.09,0.82166,0.44328,0.8652,0.84753,0.7365,0.72693,0.36309,1.56981,0.92993,1.1509,0.003862,0.003862,0.003862
33,5663.58,0.81172,0.43775,0.86201,0.8499,0.72479,0.72705,0.37005,1.51763,0.93042,1.12568,0.003664,0.003664,0.003664
34,5832.1,0.81546,0.43821,0.86201,0.83423,0.71131,0.71192,0.35805,1.47821,0.97358,1.1101,0.003466,0.003466,0.003466
35,6001.27,0.80912,0.43421,0.86141,0.83598,0.68503,0.68204,0.33419,1.56734,1.03504,1.16059,0.003268,0.003268,0.003268
36,6172.32,0.79929,0.42945,0.85919,0.84522,0.71469,0.71128,0.35772,1.50171,0.98915,1.12055,0.00307,0.00307,0.00307
37,6352.31,0.79258,0.42375,0.85761,0.84345,0.70481,0.70699,0.35808,1.53021,0.97526,1.14251,0.002872,0.002872,0.002872
38,6531.32,0.78286,0.41698,0.85571,0.84271,0.70006,0.70074,0.36393,1.49356,0.9587,1.12422,0.002674,0.002674,0.002674
39,6708.22,0.78755,0.42258,0.85794,0.84405,0.70677,0.7116,0.3697,1.47471,0.95531,1.12214,0.002476,0.002476,0.002476
40,6880.88,0.77938,0.41407,0.85649,0.80571,0.67641,0.675,0.34441,1.50911,0.97143,1.15333,0.002278,0.002278,0.002278
41,7050.13,0.76684,0.39889,0.85801,0.82353,0.67426,0.67787,0.34303,1.55303,0.98966,1.19147,0.00208,0.00208,0.00208
42,7215.84,0.76228,0.39524,0.85716,0.81547,0.6902,0.69647,0.34826,1.59724,1.01948,1.21351,0.001882,0.001882,0.001882
43,7381.76,0.7496,0.38967,0.85449,0.82057,0.70492,0.70252,0.3495,1.58835,1.01273,1.20132,0.001684,0.001684,0.001684
44,7547.43,0.74542,0.38485,0.85388,0.81173,0.69267,0.69068,0.34653,1.59427,1.02835,1.21628,0.001486,0.001486,0.001486
45,7713.58,0.73628,0.37958,0.85177,0.81139,0.68337,0.68257,0.34301,1.59529,1.03874,1.22076,0.001288,0.001288,0.001288
46,7879.4,0.72806,0.37574,0.84965,0.80542,0.6674,0.67501,0.33973,1.60563,1.04962,1.22656,0.00109,0.00109,0.00109
47,8045.35,0.72269,0.36942,0.85154,0.81203,0.65911,0.66706,0.3353,1.60109,1.05912,1.21982,0.000892,0.000892,0.000892
